32281,Kimi no Na wa.,9.37,Movie,Original
5114,Fullmetal Alchemist: Brotherhood,9.26,TV,Manga
28977,Gintama°,9.25,TV,Manga
9253,Steins;Gate,9.17,TV,Visualnovel
9969,Gintama&#039;,9.16,TV,Manga
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,9.15,TV,Manga
11061,Hunter x Hunter (2011),9.13,TV,Manga
820,Ginga Eiyuu Densetsu,9.11,OVA,Novel
15417,Gintama&#039;: Enchousen,9.11,TV,Manga
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,9.1,Movie,Manga
4181,Clannad: After Story,9.06,TV,Visualnovel
28851,Koe no Katachi,9.05,Movie,Manga
918,Gintama,9.04,TV,Manga
2904,Code Geass: Hangyaku no Lelouch R2,8.98,TV,Original
28891,Haikyuu!! Second Season,8.93,TV,Manga
199,Sen to Chihiro no Kamikakushi,8.93,Movie,Original
23273,Shigatsu wa Kimi no Uso,8.92,TV,Manga
24701,Mushishi Zoku Shou 2nd Season,8.88,TV,Manga
12355,Ookami Kodomo no Ame to Yuki,8.84,Movie,Original
1575,Code Geass: Hangyaku no Lelouch,8.83,TV,Original
263,Hajime no Ippo,8.83,TV,Manga
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.83,OVA,Manga
1,Cowboy Bebop,8.82,TV,Original
30276,One Punch Man,8.82,TV,Webmanga
164,Mononoke Hime,8.81,Movie,Original
7311,Suzumiya Haruhi no Shoushitsu,8.81,Movie,Lightnovel
17074,Monogatari Series: Second Season,8.8,TV,Lightnovel
21939,Mushishi Zoku Shou,8.8,TV,Manga
457,Mushishi,8.78,TV,Manga
2001,Tengen Toppa Gurren Lagann,8.78,TV,Original
245,Great Teacher Onizuka,8.77,TV,Manga
32983,Natsume Yuujinchou Go,8.76,TV,Manga
5258,Hajime no Ippo: New Challenger,8.75,TV,Manga
28957,Mushishi Zoku Shou: Suzu no Shizuku,8.75,Movie,Manga
11665,Natsume Yuujinchou Shi,8.75,TV,Manga
431,Howl no Ugoku Shiro,8.74,Movie,Novel
11741,Fate/Zero 2nd Season,8.73,TV,Lightnovel
31757,Kizumonogatari II: Nekketsu-hen,8.73,Movie,Lightnovel
19,Monster,8.72,TV,Manga
12365,Bakuman. 3rd Season,8.71,TV,Manga
1535,Death Note,8.71,TV,Manga
32366,Gintama°: Aizome Kaori-hen,8.69,OVA,Manga
30654,Ansatsu Kyoushitsu (TV) 2nd Season,8.68,TV,Manga
20583,Haikyuu!!,8.68,TV,Manga
19647,Hajime no Ippo: Rising,8.68,TV,Manga
4282,Kara no Kyoukai 5: Mujun Rasen,8.68,Movie,Lightnovel
10379,Natsume Yuujinchou San,8.67,TV,Manga
22135,Ping Pong The Animation,8.67,TV,Manga
21329,Mushishi Special: Hihamukage,8.66,Special,Manga
31043,Boku dake ga Inai Machi,8.65,TV,Manga
7785,Yojouhan Shinwa Taikei,8.65,TV,Novel
3297,Aria The Origination,8.64,TV,Manga
30709,Kamisama Hajimemashita: Kako-hen,8.64,OVA,Manga
6114,Rainbow: Nisha Rokubou no Shichinin,8.64,TV,Manga
31240,Re:Zero kara Hajimeru Isekai Seikatsu,8.64,TV,Lightnovel
4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,8.64,Movie,Original
5300,Zoku Natsume Yuujinchou,8.64,TV,Manga
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.62,TV,Original
24415,Kuroko no Basket 3rd Season,8.62,TV,Manga
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.61,Movie,Visualnovel
10408,Hotarubi no Mori e,8.61,Movie,Manga
28171,Shokugeki no Souma,8.61,TV,Manga
32995,Yuri!!! on Ice,8.61,TV,Original
33950,Black Clover,8.6,Special,Manga
21899,Gintama: Yorinuki Gintama-san on Theater 2D,8.6,Movie,Manga
26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,8.6,TV,Manga
7472,Gintama Movie: Shinyaku Benizakura-hen,8.59,Movie,Manga
777,Hellsing Ultimate,8.59,OVA,Manga
22535,Kiseijuu: Sei no Kakuritsu,8.59,TV,Manga
28735,Shouwa Genroku Rakugo Shinjuu,8.59,TV,Manga
12431,Uchuu Kyoudai,8.59,TV,Manga
28805,Bakemono no Ko,8.58,Movie,Original
578,Hotaru no Haka,8.58,Movie,Novel
16894,Kuroko no Basket 2nd Season,8.58,TV,Manga
5028,Major S5,8.58,TV,Manga
21,One Piece,8.58,TV,Manga
801,Ghost in the Shell: Stand Alone Complex 2nd GIG,8.57,TV,Manga
31933,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,8.57,TV,Manga
5205,Kara no Kyoukai 7: Satsujin Kousatsu (Kou),8.57,Movie,Lightnovel
17389,Kingdom 2nd Season,8.57,TV,Manga
170,Slam Dunk,8.56,TV,Manga
10162,Usagi Drop,8.56,TV,Manga
18617,Girls und Panzer der Film,8.55,Movie,Original
32182,Mob Psycho 100,8.55,TV,Webmanga
877,Nana,8.55,TV,Manga
2251,Baccano!,8.54,TV,Lightnovel
24687,Mushishi Zoku Shou: Odoro no Michi,8.54,Special,Manga
16498,Shingeki no Kyojin,8.54,TV,Manga
10030,Bakuman. 2nd Season,8.53,TV,Manga
5941,Cross Game,8.53,TV,Manga
30346,Doukyuusei (Movie),8.53,Movie,Manga
3784,Evangelion: 2.0 You Can (Not) Advance,8.53,Movie,Original
13125,Shinsekai yori,8.53,TV,Novel
12029,Uchuu Senkan Yamato 2199,8.53,OVA,Original
14397,Chihayafuru 2,8.52,TV,Manga
10165,Nichijou,8.52,TV,Manga
10087,Fate/Zero,8.51,TV,Lightnovel
14719,JoJo no Kimyou na Bouken (TV),8.51,TV,Manga
9756,Mahou Shoujo Madoka★Magica,8.51,TV,Original
13601,Psycho-Pass,8.5,TV,Original
